美国电话,T
沃达丰,VOD
希捷,STX
甲骨文,ORCL
高通,QCOM
斯普林特,S
易安信,EMC
高知特,CTSH
威讯,VZ
阿利根尼,ATI
NetSuite,N
惠普,HPQ
AMD,AMD
英伟达,NVDA
SAP,SAP
宝利通,PLCM
阿克迈,AKAM
摩托罗拉,MSI
摩移动,MMI
领英,LNKD
Yandex,YNDX
GroupOn,GRPN
Zynga,ZNGA
Facebook,FB
索尼,SNE
日本电报,NTT
孟山都,MON
埃森哲,ACN
奈飞,NFLX
威睿,VMW
泰勒科技,TYL
美信集成,MXIM
瞻博网络,JNPR
思杰系统,CTXS
易昆尼克,EQIX
红帽,RHT
电话数据,TDS
科磊,KLAC
Yelp,YELP
赛灵思,XLNX
赛富时,CRM
太阳城,SCTY
捷普,JBL
美国网存,NTAP
赛门铁克,SYMC
Axcelis,ACLS
康宁,GLW
AECOM,ACM
泰瑞达,TER
猫途鹰,TRIP
现在服务,NOW
威瑞信,VRSN
NTT道康,DCM
微芯科技,MCHP
欧特克,ADSK
艾斯本,AZPN
艾利斯,ARRS
微妙通讯,NUAN
阿克西鄂,ACXM
ASCENT资,ASCMA
F5网络,FFIV
博科,BRCD
美国塞纳,CERN
电子艺界,EA
财捷,INTU
动视暴雪,ATVI
回声星通,SATS
克里科技,CREE
天宝导航,TRMB
Stratasy,SSYS
大西洋电,ATNI
应用材料,AMAT
工时公司,WDAY
AVG科技,AVG
游戏科技,IGT
天睿,TDC
西部数据,WDC
Cepheid,CPHD
Syntel,SYNT
林氏研究,LRCX
联合电脑,CA
飞塔信息,FTNT
铿腾电子,CDNS
3D系统,DDD
康沃系统,CVLT
亚德诺,ADI
边际通信,FTR
凌力尔特,LLTC
厄比奎蒂,UBNT
FEI公司,FEIC
施乐,XRX
艾睿,ARW
思捷思,CSC
Medidata,MDSO
美国新星,NSR
安费诺,APH
美光,MU
杜比,DLB
黑莓,BBRY
推特,TWTR
敏捷存储,NMBL
任天堂,NTDOY
贝宝,PYPL
Snap,SNAP
高盛,GS
花旗,C
美国银行,BAC
摩根大通,JPM
摩根士丹,MS
美国国际,AIG
大都会人,MET
万事达,MA
维萨卡,V
富国银行,WFC
伯克希尔,BRK.A
地区金融,RF
纽约梅隆,BK
美国运通,AXP
信诺,CI
合众银行,USB
第一资本,COF
好事达,ALL
哈特福德,HIG
旅行者财,TRV
三菱日联,MTU
瑞穗金融,MFG
三井住友,SMFG
野村控股,NMR
西蒙地产,SPG
道夫金融,AF
一线国民,FHN
ARMOUR住,ARR
黑石,BX
嘉盛集团,GCAP
艾姆斯,ATLO
锡安银行,ZION
联信,CMA
阿斯塔,ASFI
联邦投资,FII
辛市金融,CINF
美国国家,AMNB
伯克希尔,BRK.B
LendingC,LC
百事可乐,PEP
强生,JNJ
辉瑞,PFE
可口可乐,KO
美敦力,MDT
施贵宝,BMY
奥驰亚,MO
联合健康,UNH
默沙东,MRK
安进,AMGN
CVS健保,CVS
百特国际,BAX
雅培,ABT
星巴克,SBUX
康宝浓汤,CPB
麦当劳,MCD
罗氏制药,RHHBY
葛兰素史,GSK
百胜餐饮,YUM
吉利德,GILD
亿滋,MDLZ
快捷药方,ESRX
Atrion公,ATRI
阿里那,ARNA
艾琪尔顿,ACHN
ALPHATEC,ATEC
雅典娜,ATHN
讴歌制药,ACUR
安塔尔,ATRS
阿莫斯特,AFAM
Aegerion,AEGR
爱贝斯公,ABAX
Array生,ARRY
AVEO制药,AVEO
阿里阿德,ARIA
康宝莱,HLF
瓦伦特制,VRX
艾尔建,AGN
AtriCure,ATRC
布朗霍文,BF.B
布朗霍文,BF.A
